x-axis,2
second,Volt
-102.6000E-03,
-102.5000E-03,+1.9219535E+00
-102.4000E-03,+1.8566269E+00
-102.3000E-03,+1.8214510E+00
-102.2000E-03,+1.7510992E+00
-102.1000E-03,+1.7611495E+00
-102.0000E-03,+1.7360239E+00
-101.9000E-03,+1.7108982E+00
-101.8000E-03,+1.7058731E+00
-101.7000E-03,+1.7209485E+00
-101.6000E-03,+1.7460741E+00
-101.5000E-03,+1.8013505E+00
-101.4000E-03,+1.8214510E+00
-101.3000E-03,+1.8214510E+00
-101.2000E-03,+1.8566269E+00
-101.1000E-03,+1.8717023E+00
-101.0000E-03,+1.8767274E+00
-100.9000E-03,+1.9018530E+00
-100.8000E-03,+1.8817525E+00
-100.7000E-03,+1.8918028E+00
-100.6000E-03,+1.9068781E+00
-100.5000E-03,+1.9621545E+00
-100.4000E-03,+2.1882852E+00
-100.3000E-03,+2.4144158E+00
-100.2000E-03,+2.6053706E+00
-100.1000E-03,+2.7661746E+00
-100.0000E-03,+2.8616520E+00
-99.9000E-03,+2.9370289E+00
-99.8000E-03,+2.9923053E+00
-99.7000E-03,+3.0274811E+00
-99.6000E-03,+3.0475816E+00
-99.5000E-03,+3.0576319E+00
-99.4000E-03,+2.8315012E+00
-99.3000E-03,+2.5249686E+00
-99.2000E-03,+2.2485867E+00
-99.1000E-03,+2.0526068E+00
-99.0000E-03,+1.8867776E+00
-98.9000E-03,+1.8013505E+00
-98.8000E-03,+1.6807475E+00
-98.7000E-03,+1.6204460E+00
-98.6000E-03,+1.5450691E+00
-98.5000E-03,+1.4998430E+00
-98.4000E-03,+1.4797425E+00
-98.3000E-03,+1.4596420E+00
-98.2000E-03,+1.4395415E+00
-98.1000E-03,+1.4395415E+00
-98.0000E-03,+1.4043656E+00
-97.9000E-03,+1.3993405E+00
-97.8000E-03,+1.3993405E+00
-97.7000E-03,+1.3993405E+00
-97.6000E-03,+1.3993405E+00
-97.5000E-03,+1.3792400E+00
-97.4000E-03,+1.3792400E+00
-97.3000E-03,+1.3792400E+00
-97.2000E-03,+1.3842651E+00
-97.1000E-03,+1.3892902E+00
-97.0000E-03,+1.4395415E+00
-96.9000E-03,+1.5400440E+00
-96.8000E-03,+1.6204460E+00
-96.7000E-03,+1.6907977E+00
-96.6000E-03,+1.7058731E+00
-96.5000E-03,+1.7611495E+00
-96.4000E-03,+1.7862751E+00
-96.3000E-03,+1.8214510E+00
-96.2000E-03,+1.8013505E+00
-96.1000E-03,+1.8214510E+00
-96.0000E-03,+1.8415515E+00
-95.9000E-03,+1.8415515E+00
-95.8000E-03,+2.0224560E+00
-95.7000E-03,+2.2234611E+00
-95.6000E-03,+2.4345163E+00
-95.5000E-03,+2.5651696E+00
-95.4000E-03,+2.6807475E+00
-95.3000E-03,+2.7661746E+00
-95.2000E-03,+2.8214510E+00
-95.1000E-03,+2.8666771E+00
-95.0000E-03,+2.9068781E+00
-94.9000E-03,+2.9269786E+00
-94.8000E-03,+2.8616520E+00
-94.7000E-03,+2.6355213E+00
-94.6000E-03,+2.4093907E+00
-94.5000E-03,+2.2234611E+00
-94.4000E-03,+2.0727073E+00
-94.3000E-03,+1.9521043E+00
-94.2000E-03,+1.8817525E+00
-94.1000E-03,+1.8214510E+00
-94.0000E-03,+1.7611495E+00
-93.9000E-03,+1.7309987E+00
-93.8000E-03,+1.7159234E+00
-93.7000E-03,+1.7008480E+00
-93.6000E-03,+1.6807475E+00
-93.5000E-03,+1.6807475E+00
-93.4000E-03,+1.6807475E+00
-93.3000E-03,+1.7008480E+00
-93.2000E-03,+1.7360239E+00
-93.1000E-03,+1.7510992E+00
-93.0000E-03,+1.7812500E+00
-92.9000E-03,+1.8013505E+00
-92.8000E-03,+1.8164259E+00
-92.7000E-03,+1.8013505E+00
-92.6000E-03,+1.8214510E+00
-92.5000E-03,+1.8214510E+00
-92.4000E-03,+1.8465766E+00
-92.3000E-03,+1.8516018E+00
-92.2000E-03,+1.8566269E+00
-92.1000E-03,+2.0626570E+00
-92.0000E-03,+2.2837626E+00
-91.9000E-03,+2.4948178E+00
-91.8000E-03,+2.6606470E+00
-91.7000E-03,+2.7661746E+00
-91.6000E-03,+2.8465766E+00
-91.5000E-03,+2.8867776E+00
-91.4000E-03,+2.9420540E+00
-91.3000E-03,+2.9671796E+00
-91.2000E-03,+2.9872801E+00
-91.1000E-03,+2.8666771E+00
-91.0000E-03,+2.5902952E+00
-90.9000E-03,+2.3239636E+00
-90.8000E-03,+2.0727073E+00
-90.7000E-03,+1.9119033E+00
-90.6000E-03,+1.8063756E+00
-90.5000E-03,+1.6807475E+00
-90.4000E-03,+1.6204460E+00
-90.3000E-03,+1.6003455E+00
-90.2000E-03,+1.5551193E+00
-90.1000E-03,+1.4998430E+00
-90.0000E-03,+1.4998430E+00
-89.9000E-03,+1.4797425E+00
-89.8000E-03,+1.4797425E+00
