0,2303,71
1,2434,76
2,2555,79
3,2632,82
4,2499,78
5,2376,74
6,2259,70
7,2348,73
8,2475,77
9,2595,81
10,2588,80
11,2459,76
12,2338,73
13,2258,70
14,2390,74
15,2515,78
16,2630,82
17,2544,79
18,2416,75
19,2299,71
20,2303,71
21,2432,76
22,2554,79
23,2634,82
24,2498,78
25,2377,74
26,2261,70
27,2349,73
28,2473,77
29,2596,81
30,2587,80
31,2457,76
32,2337,73
33,2260,70
34,2391,74
35,2517,78
36,2632,82
37,2543,79
38,2415,75
39,2298,71
40,2304,72
41,2434,76
42,2554,79
43,2633,82
44,2500,78
45,2377,74
46,2257,70
47,2349,73
48,2475,77
49,2594,81
50,2588,80
51,2457,76
52,2336,73
53,2260,70
54,2391,74
55,2515,78
56,2630,82
57,2542,79
58,2416,75
59,2299,71
60,2304,72
61,2433,76
62,2557,79
63,2634,82
64,2499,78
65,2377,74
66,2259,70
67,2347,73
68,2474,77
69,2594,81
70,2586,80
71,2458,76
72,2335,72
73,2259,70
74,2393,74
75,2516,78
76,2632,82
77,2544,79
78,2418,75
79,2298,71
80,2303,71
81,2433,76
82,2555,79
83,2626,82
84,2500,78
85,2377,74
86,2259,70
87,2349,73
88,2474,77
89,2594,81
90,2586,80
91,2458,76
92,2336,73
93,2258,70
94,2392,74
95,2513,78
96,2631,82
97,2545,79
98,2417,75
99,2299,71
100,2304,72
101,2433,76
102,2555,79
103,2634,82
104,2500,78
105,2376,74
106,2260,70
107,2348,73
108,2474,77
109,2593,81
110,2587,80
111,2458,76
112,2336,73
113,2258,70
114,2391,74
115,2515,78
116,2631,82
117,2544,79
118,2417,75
119,2299,71
120,2303,71
121,2432,76
122,2554,79
123,2634,82
124,2500,78
125,2377,74
126,2260,70
127,2348,73
128,2474,77
129,2593,81
130,2587,80
131,2459,76
132,2335,72
133,2259,70
134,2391,74
135,2515,78
136,2630,82
137,2544,79
138,2416,75
139,2298,71
140,2303,71
141,2434,76
142,2556,79
143,2633,82
144,2502,78
145,2378,74
146,2258,70
147,2347,73
148,2474,77
149,2593,81
150,2589,80
151,2460,76
152,2337,73
153,2260,70
154,2389,74
155,2515,78
156,2629,82
157,2544,79
158,2417,75
159,2300,71
160,2302,71
161,2433,76
162,2553,79
163,2633,82
164,2501,78
165,2376,74
166,2260,70
167,2349,73
168,2474,77
169,2594,81
170,2587,80
171,2459,76
172,2336,73
173,2259,70
174,2392,74
175,2516,78
176,2630,82
177,2545,79
178,2418,75
179,2299,71
180,2303,71
181,2433,76
182,2554,79
183,2633,82
184,2502,78
185,2378,74
186,2262,70
187,2347,73
188,2474,77
189,2592,81
190,2589,80
191,2460,76
192,2340,73
193,2258,70
194,2391,74
195,2514,78
196,2631,82
197,2543,79
198,2419,75
199,2297,71
200,2304,72
201,2432,76
202,2554,79
203,2633,82
204,2502,78
205,2376,74
206,2263,70
207,2346,73
208,2474,77
209,2592,81
210,2588,80
211,2460,76
212,2337,73
213,2259,70
214,2391,74
215,2513,78
216,2632,82
217,2543,79
218,2417,75
219,2298,71
220,2304,72
221,2432,76
222,2554,79
223,2632,82
224,2500,78
225,2376,74
226,2261,70
227,2348,73
228,2474,77
229,2592,81
230,2590,80
231,2457,76
232,2337,73
233,2257,70
234,2391,74
235,2514,78
236,2634,82
237,2543,79
238,2416,75
239,2298,71
240,2304,72
241,2433,76
242,2555,79
243,2633,82
244,2500,78
245,2377,74
246,2259,70
247,2347,73
248,2474,77
249,2594,81
250,2587,80
251,2458,76
252,2336,73
253,2258,70
254,2391,74
255,2515,78
256,2632,82
257,2545,79
258,2416,75
259,2298,71
260,2303,71
261,2432,76
262,2553,79
263,2632,82
264,2499,78
265,2378,74
266,2260,70
267,2348,73
268,2474,77
269,2594,81
270,2586,80
271,2461,76
272,2335,72
273,2258,70
274,2391,74
275,2515,78
276,2630,82
277,2544,79
278,2416,75
279,2299,71
280,2303,71
281,2433,76
282,2554,79
283,2633,82
284,2501,78
285,2375,74
286,2259,70
287,2347,73
288,2475,77
289,2594,81
290,2588,80
291,2458,76
292,2337,73
293,2260,70
294,2390,74
295,2516,78
296,2631,82
297,2543,79
298,2416,75
299,2299,71
300,2304,72
301,2433,76
302,2554,79
303,2633,82
304,2499,78
305,2377,74
306,2259,70
307,2348,73
308,2473,77
309,2594,81
310,2587,80
311,2458,76
312,2338,73
313,2258,70
314,2390,74
315,2515,78
316,2631,82
317,2544,79
318,2416,75
319,2301,71
320,2305,72
321,2433,76
322,2554,79
323,2633,82
324,2498,78
325,2376,74
326,2259,70
327,2348,73
328,2476,77
329,2595,81
330,2587,80
331,2458,76
332,2335,72
333,2260,70
334,2393,74
335,2517,78
336,2629,82
337,2543,79
338,2416,75
339,2298,71
340,2306,72
341,2428,75
342,2553,79
343,2631,82
344,2498,78
345,2376,74
346,2260,70
347,2348,73
348,2472,77
349,2594,81
350,2589,80
351,2460,76
352,2337,73
353,2259,70
354,2390,74
355,2516,78
356,2630,82
357,2543,79
358,2416,75
359,2297,71
360,2304,72
361,2434,76
362,2554,79
363,2632,82
364,2497,78
365,2377,74
366,2259,70
