0,1939,60
1,2078,64
2,2208,69
3,2334,72
4,2454,76
5,2567,80
6,2675,83
7,2779,86
8,2875,89
9,2969,92
10,3057,95
11,3143,98
12,3221,100
13,3297,103
14,3370,105
15,3441,107
16,3506,109
17,3571,111
18,3629,113
19,3687,115
20,3742,116
21,3792,118
22,3841,120
23,3891,121
24,3936,123
25,3979,124
26,4020,125
27,4030,125
28,3833,119
29,3649,114
30,3475,108
31,3310,103
32,3153,98
33,3005,93
34,2866,89
35,2731,85
36,2604,81
37,2484,77
38,2367,73
39,2256,70
40,2152,67
41,2053,64
42,1957,61
43,1864,58
44,1781,55
45,1699,53
46,1621,50
47,1545,48
48,1474,46
49,1405,43
50,1343,41
51,1280,40
52,1223,38
53,1165,36
54,1112,34
55,1060,33
56,1014,31
57,967,30
58,923,28
59,879,27
60,839,26
61,991,30
62,1183,36
63,1361,42
64,1530,47
65,1690,52
66,1843,57
67,1985,62
68,2123,66
69,2252,70
70,2376,74
71,2493,77
72,2605,81
73,2711,84
74,2812,87
75,2908,90
76,2998,93
77,3086,96
78,3168,99
79,3248,101
80,3321,103
81,3395,106
82,3462,108
83,3528,110
84,3591,112
85,3649,114
86,3707,115
87,3759,117
88,3812,119
89,3856,120
90,3905,122
91,3949,123
92,3993,124
93,4033,126
94,3961,123
95,3766,117
96,3588,112
97,3419,106
98,3257,101
99,3103,96
100,2959,92
101,2820,88
102,2689,84
103,2563,80
104,2445,76
105,2331,72
106,2220,69
107,2117,66
108,2018,63
109,1925,60
110,1837,57
111,1753,54
112,1670,52
113,1595,49
114,1522,47
115,1451,45
116,1384,43
117,1323,41
118,1260,39
119,1203,37
120,1148,35
121,1097,34
122,1044,32
123,996,31
124,950,29
125,907,28
126,866,27
127,858,26
128,1056,33
129,1243,38
130,1418,44
131,1585,49
132,1741,54
133,1891,59
134,2033,63
135,2166,67
136,2292,71
137,2414,75
138,2530,79
139,2643,82
140,2745,85
141,2844,88
142,2938,91
143,3029,94
144,3111,97
145,3196,99
146,3272,102
147,3346,104
148,3418,106
149,3486,108
150,3548,110
151,3615,112
152,3668,114
153,3724,116
154,3777,118
155,3826,119
156,3876,121
157,3922,122
158,3967,123
159,4008,125
160,4045,126
161,3895,121
162,3706,115
163,3528,110
164,3363,105
165,3202,100
166,3053,95
167,2911,90
168,2774,86
169,2639,82
170,2520,78
171,2404,75
172,2293,71
173,2185,68
174,2085,65
175,1988,62
176,1897,59
177,1807,56
178,1726,53
179,1646,51
180,1570,49
181,1497,46
182,1429,44
183,1363,42
184,1302,40
185,1241,38
186,1185,37
187,1129,35
188,1079,33
189,1028,32
190,982,30
191,936,29
192,893,27
193,853,26
194,925,28
195,1121,35
196,1304,40
197,1476,46
198,1638,51
199,1793,56
200,1939,60
201,2078,64
202,2210,69
203,2334,72
204,2454,76
205,2565,80
206,2678,83
207,2778,86
208,2877,89
209,2963,92
210,3058,95
211,3142,98
212,3222,100
213,3299,103
214,3370,105
215,3441,107
216,3507,109
217,3569,111
218,3630,113
219,3687,115
220,3742,116
221,3794,118
222,3843,120
223,3890,121
224,3936,123
225,3980,124
226,4022,125
227,4028,125
228,3832,119
229,3647,113
230,3472,108
231,3309,103
232,3151,98
233,3004,93
234,2863,89
235,2730,85
236,2604,81
237,2481,77
238,2365,73
239,2256,70
240,2151,67
241,2052,64
242,1956,61
243,1866,58
244,1777,55
245,1698,53
246,1619,50
247,1545,48
248,1474,46
249,1407,43
250,1342,41
